Fitness Objective: latency
=====Optimizing Model: example=====
=====Optimizing layer 1: [32, 32, 16, 16, 3, 3]=====
[Gen0] fitness: [-1179648] Sol: [['K', 64], ['K', 2], ['C', 1], ['Y', 1], ['X', 1], ['R', 1], ['S', 1], ['C', 1], ['K', 2], ['C', 1], ['Y', 1], ['X', 1], ['R', 1], ['S', 1]]
[Gen1] fitness: [-73728] Sol: [['K', 64], ['K', 32], ['C', 1], ['Y', 1], ['X', 1], ['R', 1], ['S', 1], ['C', 1], ['K', 1], ['C', 1], ['Y', 1], ['X', 1], ['R', 1], ['S', 1]]
[Gen2] fitness: [-73728] Sol: [['K', 64], ['K', 32], ['C', 1], ['Y', 1], ['X', 1], ['R', 1], ['S', 1], ['C', 1], ['K', 1], ['C', 1], ['Y', 1], ['X', 1], ['R', 3], ['S', 1]]
[Gen3] fitness: [-73728] Sol: [['K', 64], ['K', 32], ['C', 1], ['Y', 1], ['X', 2], ['R', 1], ['S', 1], ['C', 1], ['K', 1], ['C', 1], ['Y', 1], ['X', 2], ['R', 3], ['S', 1]]
[Gen4] fitness: [-73728] Sol: [['K', 64], ['C', 1], ['K', 32], ['Y', 1], ['X', 2], ['R', 1], ['S', 1], ['C', 1], ['K', 1], ['C', 1], ['Y', 1], ['X', 2], ['R', 3], ['S', 1]]
[Gen5] fitness: [-73728] Sol: [['K', 64], ['C', 1], ['K', 32], ['Y', 1], ['X', 2], ['R', 1], ['S', 1], ['C', 1], ['Y', 1], ['C', 1], ['K', 1], ['X', 2], ['R', 3], ['S', 1]]
[Gen6] fitness: [-73728] Sol: [['K', 64], ['C', 1], ['K', 32], ['Y', 1], ['X', 1], ['R', 1], ['S', 3], ['C', 1], ['K', 1], ['C', 1], ['Y', 1], ['X', 4], ['R', 3], ['S', 1]]
[Gen7] fitness: [-73728] Sol: [['K', 64], ['C', 1], ['K', 32], ['Y', 1], ['X', 1], ['R', 1], ['S', 3], ['C', 1], ['K', 1], ['C', 1], ['Y', 1], ['X', 4], ['R', 1], ['S', 1]]
[Gen8] fitness: [-73728] Sol: [['K', 64], ['C', 1], ['Y', 2], ['K', 32], ['X', 2], ['R', 1], ['S', 1], ['C', 1], ['Y', 1], ['C', 1], ['K', 1], ['X', 2], ['R', 3], ['S', 1]]
[Gen9] fitness: [-73728] Sol: [['K', 64], ['C', 1], ['Y', 2], ['K', 32], ['X', 16], ['R', 1], ['S', 1], ['C', 1], ['Y', 1], ['C', 1], ['K', 1], ['X', 1], ['R', 3], ['S', 1]]
[Gen10] fitness: [-73728.] Sol: [['K', 64], ['C', 1], ['Y', 2], ['K', 32], ['X', 2], ['R', 1], ['S', 1], ['C', 1], ['K', 1], ['C', 1], ['Y', 1], ['X', 2], ['R', 1], ['S', 1]]
[Gen11] fitness: [-73728] Sol: [['K', 64], ['C', 1], ['Y', 4], ['K', 32], ['X', 2], ['R', 1], ['S', 1], ['C', 1], ['K', 1], ['C', 1], ['Y', 2], ['X', 2], ['R', 1], ['S', 1]]
[Gen12] fitness: [-73728.] Sol: [['K', 64], ['S', 1], ['Y', 2], ['K', 32], ['X', 4], ['R', 1], ['C', 1], ['C', 1], ['Y', 1], ['C', 1], ['K', 1], ['X', 1], ['R', 3], ['S', 1]]
